freq,psd_x,psd_y,psd_z,psd_xyz
183.2,2.539e+03,1.383e+03,3.477e+02,4.270e+03
184.9,2.740e+03,1.329e+03,3.270e+02,4.396e+03
186.6,3.403e+03,1.321e+03,3.257e+02,5.049e+03
188.3,4.036e+03,1.334e+03,2.919e+02,5.663e+03
190.0,4.866e+03,1.230e+03,2.827e+02,6.378e+03
191.7,6.217e+03,1.201e+03,2.649e+02,7.684e+03
193.4,8.108e+03,1.166e+03,2.760e+02,9.550e+03
195.1,1.077e+04,1.115e+03,3.100e+02,1.219e+04
196.8,1.426e+04,1.299e+03,3.174e+02,1.588e+04
198.6,1.698e+04,1.718e+03,3.446e+02,1.905e+04
