freq,psd_x,psd_y,psd_z,psd_xyz
179.8,2.513e+03,2.147e+03,6.305e+03,1.096e+04
181.5,2.052e+03,2.294e+03,8.274e+03,1.262e+04
183.1,1.824e+03,1.972e+03,1.101e+04,1.481e+04
184.8,1.737e+03,1.807e+03,1.553e+04,1.908e+04
186.4,1.706e+03,2.149e+03,2.070e+04,2.455e+04
188.1,1.883e+03,2.470e+03,2.173e+04,2.608e+04
189.7,2.093e+03,2.424e+03,2.040e+04,2.492e+04
191.4,2.109e+03,2.833e+03,1.659e+04,2.153e+04
193.0,2.059e+03,3.412e+03,1.325e+04,1.872e+04
194.7,2.161e+03,4.204e+03,1.113e+04,1.750e+04
196.3,1.708e+03,5.079e+03,8.124e+03,1.491e+04
198.0,1.744e+03,4.932e+03,7.758e+03,1.443e+04
199.6,1.993e+03,4.224e+03,8.634e+03,1.485e+04
